Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Vikram Damaraju,Pulmonologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Vishnu Kumar R,Nuclear Medicine Specialist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. C Vamsidhar,Anaesthesiologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Adimulam Ganga Ravindra,Pulmonologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Ganti Sravya Deepika,Surgical Oncologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Kutty Sharada Vinod,Internal Medicine Specialist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Amaresh Aruni,General Surgeon,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Vasudha CL,Pathologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Amalakanti Sridhar,Neurologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Haritha Thiruveedhula,Dermatologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Mahesh V,Paediatrician,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Krishna H M,Anaesthesiologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Samarjit Dey,Anaesthesiologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Sravan Kumar G,Cardiologist,10+ Years
,"AIIMS Hospital,Mangalgiri,Vaddeswaram",Dr. Molli Kiran,Anaesthesiologist,10+ Years
,,,,
,"NRI General Hospital, Mangalagiri, Vaddeswaram ",Dr. Kurra Siva Sankara Rao,General Surgeon,44+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Gunupalli Subba Rao,General Surgeon,42+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Kanneganti Srinivasa Rao,General Surgeon,35+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Annapareddy Anil Kumar Reddy,General Surgeon,30+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Karanam Satish,General Surgeon,30+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Bodigiri Srinivasa Naidu,Internal Medicine Specialist,29+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Surapaneni Sushama,General Surgeon,27+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Ramana Kumari K V,Internal Medicine Specialist,25+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Avirneni Satyanarayana Prasad,General Surgeon,25+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Notu Sudhakar Reddy,General Surgeon,25+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Ganga Prasad Uppalapati,Internal Medicine Specialist,25+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Naveen Katragadda,General Surgeon,25+ Years
