Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Mphani r",Dr. Phani Raja Kumar M,Consultant - Surgical Oncologist,
,,,,
,"Vedanta Hospital, Mangalagiri, Vaddeswaram ",Dr. Chinta Rama Krishna,Nephrologist,25+ Years
,"Vedanta Hospital, Mangalagiri, Vaddeswaram",Dr. Tirumala Naresh Arava,Cardiologist,18+ Years
,"Vedanta Hospital, Mangalagiri, Vaddeswaram",Dr. Srinivas Polisetty,Orthopedic Surgeon,10+ Years
,"Vedanta Hospital, Mangalagiri, Vaddeswaram",Dr. M Anuradha,Obstetrician / Gynaecologist,10+ Years
,"Vedanta Hospital, Mangalagiri, Vaddeswaram",Dr. M S R Deepika,Internal Medicine Specialist,10+ Years
,"Vedanta Hospital, Mangalagiri, Vaddeswaram",Dr. Vijay Bhaskar Thatty,Paediatrician,9+ Years
,"
Kamineni Hospital, Poranki",Dr. Lakshman Prasad Gubbala,ENT/ Otorhinolaryngologist,21
,"Kaminnei Hospital, Poranki",Dr. Naveen Kumar Venigalla,Neurologist,24
,"Kaminnei Hospital, Poranki",Dr. Ramesh,Nephrologist/Renal Specialist,16
,"Kamingei Hospital, Poranki",Dr. Swapna Sri Boppana,General Physician,21
,"Kaminpui Hospital, Poranki",Dr. Srinivasa Kumar Ravipati,Pulmonologist,16
,"Kaminnei Hospital, Poranki",Dr. Vinathi Paritala,Critical Care Medicine,16
,"Kaminuri Hospital, Poranki",Dr. Sampath Kumar Pothuganti,Urologist,21
,"Kaminnei Hospital, Poranki",Dr. Tripura V,Ophthalmologist/ Eye Surgeon,16
,"Kaminnei Hospital, Poranki",Dr. Truman Srinivas Marri,Neurosurgeon,16
,"Kaminnei Hospital, Poranki",Dr. SALUMURI PREMCHAND,General Physician,9
,,,,
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Aravind Roy,Ophthalmologist,22+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Krishna Priya,Ophthalmologist,18+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Sameera Nayak,Ophthalmologist,16+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Anasua Ganguly Kapoor,Ophthalmologist,15+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. David Aggarwal,Ophthalmologist,11+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Amanjot Kaur,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Niroj Kumar Sahoo,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Sushank Ashok B,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Aditya Kapoor,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Anahita Kate,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Deepthi Molleti,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Kavya Madhuri Bejjanki,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Mayank Rai,Ophthalmologist,10+ Years
,"L V Prasad Eye Institute, Poranki, Vijayawada",Dr. Sowjanya Vuyyuru,Ophthalmologist,10+ Years
